Pokemon,Move1,Move2,Move3,Move4,Move5,Move6,Move7,Move8,Move9,Move10,Move11,Move12,Move13,Move14,Move15,Move16,Move17,Move18,Move19,Move20,Move21,Move22,Move23,Move24,Move25,Move26,Move27,Move28,Move29,Move30,Move31,Move32,Move33,Move34,Move35,Move36,Move37,Move38,Move39,Move40,Move41,Move42,Move43,Move44,Move45,Move46,Move47,Move48,Move49,Move50,Move51,Move52,Move53,Move54,Move55,Move56,Move57,Move58,Move59,Move60,Move61,Move62,Move63,Move64,Move65,Move66,Move67,Move68,Move69,Move70,Move71,Move72,Move73,Move74,Move75,Move76,Move77,Move78,Move79,Move80,Move81,Move82,Move83,Move84,Move85,Move86,Move87,Move88,Move89,Move90,Move91,Move92,Move93,Move94,Move95,Move96,Move97,Move98,Move99,Move100,Move101,Move102,Move103,Move104,Move105,Move106,Move107,Move108,Move109,Move110,Move111,Move112,Move113,Move114,Move115,Move116,Move117,Move118,Move119,Move120,Move121,Move122,Move123,Move124,Move125,Move126,Move127,Move128,Move129,Move130,Move131,Move132,Move133,Move134,Move135,Move136,Move137,Move138,Move139,Move140,Move141,Move142,Move143,Move144,Move145,Move146,Move147,Move148,Move149,Move150,Move151,Move152,Move153,Move154,Move155,Move156,Move157,Move158,Move159,Move160,Move161,Move162,Move163,Move164,Move165,Move166,Move167,Move168,Move169,Move170,Move171,Move172,Move173,Move174,Move175,Move176,Move177,Move178,Move179,Move180,Move181,Move182,Move183,Move184,Move185,Move186,Move187,Move188,Move189,Move190,Move191,Move192,Move193,Move194,Move195,Move196,Move197,Move198,Move199,Move200,Move201,Move202,Move203,Move204,Move205,Move206,Move207,Move208,Move209,Move210,Move211,Move212,Move213,Move214,Move215,Move216,Move217,Move218,Move219,Move220,Move221,Move222,Move223,Move224,Move225,Move226,Move227,Move228,Move229,Move230,Move231,Move232,Move233,Move234,Move235,Move236,Move237,Move238,Move239,Move240,Move241,Move242,Move243,Move244,Move245,Move246,Move247,Move248,Move249,Move250,Move251,Move252,Move253,Move254,Move255,Move256,Move257,Move258
Bulbasaur,Facade,Weather Ball,Venoshock,Swagger,Energy Ball,Power Whip,Giga Drain,Safeguard,Attract,Endure,Substitute,Amnesia,Petal Dance,Work Up,Flash,Sludge Bomb,Magical Leaf,Grassy Terrain,Curse,Body Slam,Helping Hand,Ingrain,Sludge,Double Team,Strength,Nature Power,Solar Beam,Knock Off,Bullet Seed,Leaf Storm,Double-Edge,Rock Smash,Light Screen,Sunny Day,Swords Dance,Seed Bomb,Rest,Grass Pledge,Skull Bash,Sweet Scent,Trailblaze,Take Down,Vine Whip,Toxic,Synthesis,Sleep Talk,Charm,Grassy Glide,Cut,Protect,Growl,Acid Spray,Tera Blast,Razor Leaf,Worry Seed,Growth,Leech Seed,Sleep Powder,False Swipe,Poison Powder,Tackle,Grass Knot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivysaur,Roar,Facade,Weather Ball,Venoshock,Swagger,Energy Ball,Power Whip,Giga Drain,Safeguard,Attract,Endure,Substitute,Amnesia,Petal Dance,Work Up,Flash,Sludge Bomb,Magical Leaf,Grassy Terrain,Curse,Body Slam,Helping Hand,Ingrain,Sludge,Double Team,Strength,Nature Power,Solar Beam,Knock Off,Bullet Seed,Leaf Storm,Double-Edge,Rock Smash,Light Screen,Sunny Day,Swords Dance,Seed Bomb,Rest,Grass Pledge,Skull Bash,Sweet Scent,Trailblaze,Take Down,Vine Whip,Toxic,Synthesis,Sleep Talk,Charm,Grassy Glide,Cut,Protect,Growl,Acid Spray,Tera Blast,Razor Leaf,Worry Seed,Growth,Leech Seed,Sleep Powder,False Swipe,Poison Powder,Tackle,Grass Knot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venusaur,Roar,Facade,Weather Ball,Venoshock,Swagger,Hyper Beam,Energy Ball,Power Whip,Giga Drain,Giga Impact,Safeguard,Frenzy Plant,Endure,Substitute,Attract,Amnesia,Petal Dance,Work Up,Flash,Poison Jab,Sludge Bomb,Magical Leaf,Grassy Terrain,Curse,Body Slam,Helping Hand,Ingrain,Sludge,Earth Power,Double Team,Earthquake,Petal Blizzard,Strength,Nature Power,Solar Beam,Knock Off,Bullet Seed,Leaf Storm,Stomping Tantrum,Double-Edge,Rock Smash,Light Screen,Sunny Day,Swords Dance,Seed Bomb,Rest,Grass Pledge,Skull Bash,Rock Climb,Sweet Scent,Trailblaze,Take Down,Vine Whip,Toxic,Synthesis,Sleep Talk,Charm,Grassy Glide,Cut,Protect,Growl,Acid Spray,Tera Blast,Razor Leaf,Worry Seed,Scary Face,Growth,Leech Seed,Sleep Powder,Bulldoze,False Swipe,Poison Powder,Tackle,Grass Knot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charmander,Dragon Breath,Flame Charge,Facade,Focus Blast,Counter,Roar,Swagger,Dragon Tail,Fire Pledge,Overheat,Endure,Substitute,Scratch,Fire Blast,Iron Tail,Ancient Power,Work Up,Wing Attack,Ember,Body Slam,Rock Slide,Dragon Dance,Helping Hand,Inferno,Air Cutter,Smokescreen,Fling,Double Team,Crunch,Rock Tomb,Strength,Focus Punch,Dragon Pulse,Shadow Claw,Breaking Swipe,Aerial Ace,Will-O-Wisp,Heat Wave,Rock Smash,Fire Spin,Sunny Day,Swords Dance,Belly Drum,Flamethrower,Flare Blitz,Dig,Rest,Outrage,Dragon Rush,Slash,Take Down,Temper Flare,Sleep Talk,Metal Claw,Cut,Swift,Brick Break,Protect,Growl,Dragon Claw,Beat Up,Tera Blast,Scary Face,Fire Fang,Thunder Punch,False Swipe,Fire Punch,Attract,Weather Ball,Bite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charmeleon,Dragon Breath,Flame Charge,Facade,Focus Blast,Counter,Roar,Swagger,Dragon Tail,Fire Pledge,Overheat,Endure,Substitute,Scratch,Fire Blast,Iron Tail,Ancient Power,Work Up,Wing Attack,Ember,Body Slam,Rock Slide,Dragon Dance,Helping Hand,Inferno,Air Cutter,Smokescreen,Fling,Double Team,Crunch,Rock Tomb,Strength,Focus Punch,Dragon Pulse,Shadow Claw,Breaking Swipe,Aerial Ace,Will-O-Wisp,Heat Wave,Rock Smash,Fire Spin,Sunny Day,Swords Dance,Belly Drum,Flamethrower,Flare Blitz,Dig,Rest,Outrage,Dragon Rush,Slash,Take Down,Temper Flare,Sleep Talk,Metal Claw,Cut,Swift,Brick Break,Protect,Growl,Dragon Claw,Beat Up,Tera Blast,Scary Face,Fire Fang,Thunder Punch,False Swipe,Fire Punch,Attract,Weather Ball,Bite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charizard,Dragon Breath,Facade,Swagger,Counter,Substitute,Air Slash,Rock Slide,Smokescreen,Blast Burn,Focus Punch,Hurricane,Will-O-Wisp,Belly Drum,Rest,Outrage,Slash,Sleep Talk,Metal Claw,Growl,Tera Blast,Fire Fang,Steel Wing,Weather Ball,Roar,Focus Blast,Dragon Tail,Iron Tail,Ancient Power,Fly,Ember,Dragon Dance,Air Cutter,Crunch,Heat Wave,Rock Smash,Dragon Cheer,Swords Dance,Flare Blitz,Dig,Cut,Swift,Flame Charge,Hyper Beam,Overheat,Acrobatics,Scratch,Fire Blast,Rock Tomb,Aerial Ace,Solar Beam,Fire Spin,Flamethrower,Take Down,Temper Flare,Beat Up,Scary Face,Bulldoze,Attract,Bite,Giga Impact,Fire Pledge,Endure,Work Up,Wing Attack,Body Slam,Helping Hand,Inferno,Fling,Double Team,Earthquake,Roost,Strength,Dragon Pulse,Shadow Claw,Breaking Swipe,Double-Edge,Sunny Day,Heat Crash,Dragon Rush,Scorching Sands,Dragon Claw,Brick Break,Protect,Sandstorm,Thunder Punch,False Swipe,Fire Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squirtle,Facade,Swagger,Chilling Water,Waterfall,Endure,Substitute,Water Pledge,Work Up,Water Pulse,Rain Dance,Muddy Water,Iron Tail,Brine,Whirlpool,Iron Defense,Aura Sphere,Ice Punch,Rapid Spin,Zen Headbutt,Mud Shot,Body Slam,Ice Spinner,Helping Hand,Fake Out,Water Spout,Fling,Double Team,Aqua Tail,Aqua Jet,Rock Tomb,Strength,Aqua Ring,Focus Punch,Dragon Pulse,Flip Turn,Mirror Coat,Surf,Liquidation,Double-Edge,Rock Smash,Tail Whip,Flail,Withdraw,Icy Wind,Shell Smash,Dig,Rest,Blizzard,Yawn,Skull Bash,Scald,Life Dew,Wave Crash,Take Down,Hydro Pump,Sleep Talk,Mist,Protect,Brick Break,Tera Blast,Haze,Water Gun,Ice Beam,Gyro Ball,False Swipe,Attract,Hail,Tackle,Weather Ball,Bite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wartortle,Facade,Swagger,Chilling Water,Waterfall,Endure,Substitute,Water Pledge,Work Up,Water Pulse,Rain Dance,Muddy Water,Iron Tail,Brine,Whirlpool,Iron Defense,Aura Sphere,Ice Punch,Rapid Spin,Zen Headbutt,Mud Shot,Body Slam,Ice Spinner,Helping Hand,Fake Out,Fling,Water Spout,Double Team,Aqua Tail,Aqua Jet,Rock Tomb,Strength,Aqua Ring,Focus Punch,Dragon Pulse,Flip Turn,Mirror Coat,Surf,Liquidation,Double-Edge,Rock Smash,Tail Whip,Icy Wind,Withdraw,Flail,Shell Smash,Dig,Rest,Blizzard,Skull Bash,Yawn,Scald,Life Dew,Wave Crash,Take Down,Hydro Pump,Sleep Talk,Brick Break,Protect,Mist,Tera Blast,Haze,Water Gun,Ice Beam,Gyro Ball,False Swipe,Attract,Hail,Tackle,Weather Ball,Bite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blastoise,Facade,Swagger,Hydro Cannon,Waterfall,Dark Pulse,Substitute,Brine,Rain Dance,Aura Sphere,Rock Slide,Ice Spinner,Water Spout,Aqua Tail,Aqua Ring,Focus Punch,Surf,Rest,Yawn,Sleep Talk,Tera Blast,Haze,Gyro Ball,Weather Ball,Roar,Focus Blast,Water Pulse,Iron Tail,Iron Defense,Ice Punch,Rapid Spin,Mud Shot,Fake Out,Crunch,Flip Turn,Liquidation,Rock Smash,Flail,Withdraw,Dig,Skull Bash,Rock Climb,Hydro Pump,Ice Beam,Hail,Zen Headbutt,Hyper Beam,Muddy Water,Avalanche,Whirlpool,Body Press,Rock Tomb,Aqua Jet,Mirror Coat,Icy Wind,Scald,Wave Crash,Take Down,Mist,Scary Face,Bulldoze,Attract,Tackle,Bite,Chilling Water,Giga Impact,Endure,Water Pledge,Work Up,Smack Down,Body Slam,Helping Hand,Fling,Double Team,Earthquake,Strength,Dragon Pulse,Flash Cannon,Double-Edge,Tail Whip,Shell Smash,Blizzard,Life Dew,Brick Break,Protect,Water Gun,False Swipe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpie,Bug Bite,Electroweb,Tackle,String Shot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
