Move Number,Move Name,Move Type,Move Category,Base Power,Accuracy,PP,Target,Priority,Flag: protect,Flag: mirror,Flag: heal,Flag: metronome,Flag: contact,Flag: snatch,Flag: bullet,Flag: distance,Flag: slicing,Flag: wind,Flag: bypasssub,Flag: allyanim,Flag: sound,Flag: dance,Flag: failencore,Flag: nosleeptalk,Flag: noassist,Flag: failcopycat,Flag: failmimic,Flag: failinstruct,Flag: reflectable,Flag: pulse,Flag: failmefirst,Flag: bite,Flag: recharge,Flag: nosketch,Flag: cantusetwice,Flag: nonsky,Flag: charge,Flag: gravity,Flag: punch,Flag: defrost,Flag: powder,Flag: futuremove,Flag: noparentalbond,Flag: pledgecombo,Flag: mustpressure,Secondary: chance,Secondary: boosts,Secondary: volatileStatus,Secondary: onHit,Secondary: self,Secondary: status,Boost: spdef,Boost: atk,Boost: speed,Boost: def,Boost: accuracy,Boost: spatk
719,10000000voltthunderbolt,Electric,Special,195,true,1,normal,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,absorb,Grass,Special,20,100,25,normal,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
709,accelerock,Rock,Physical,40,100,20,normal,1,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,acid,Poison,Special,40,100,30,allAdjacentFoes,0,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,[object Object],,,,,-1,,,,,
151,acidarmor,Poison,Status,0,true,20,self,0,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628,aciddownpour,Poison,Physical,1,true,1,normal,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,acidspray,Poison,Special,40,100,20,normal,0,1,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,[object Object],,,,,-2,,,,,
512,acrobatics,Flying,Physical,55,100,15,any,0,1,1,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,acupressure,Normal,Status,0,true,30,adjacentAllyOrSelf,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,aerialace,Flying,Physical,60,true,20,any,0,1,1,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
